春 来 眼 际 ， 喜 上 眉 梢
春 光 普 照 ， 福 气 长 临
春 和 景 明 ， 物 阜 年 丰
春 降 大 地 ， 福 满 人 间
春 明 花 艳 ， 民 富 国 强
春 燕 剪 梅 ， 喜 鹊 登 春
党 兴 国 旺 ， 物 阜 民 康
风 清 云 静 ， 日 暖 花 香
光 华 大 地 ， 伟 业 中 天
国 臻 大 治 ， 民 奔 小 康
蕙 兰 并 茂 ， 桃 李 争 芳
江 山 永 固 ， 广 宇 同 春
椒 花 献 颂 ， 柏 酒 迎 春
九 州 竞 秀 ， 七 耀 同 辉
九 州 日 丽 ， 五 湖 景 新
九 州 溢 彩 ， 五 谷 飘 香
满 园 春 色 ， 一 团 和 气
梅 传 春 讯 ， 雪 兆 丰 年
全 家 福 气 ， 满 院 春 光
鹊 传 喜 讯 ， 风 送 佳 音
群 芳 斗 艳 ， 百 业 争 荣
人 歌 四 化 ， 鸟 唱 三 春
瑞 雪 辞 岁 ， 腊 梅 迎 春
三 春 放 彩 ， 五 福 生 根
三 春 淑 景 ， 四 季 宜 人
山 河 秀 丽 ， 岁 月 辉 煌
山 河 永 固 ， 大 地 同 春
山 河 壮 丽 ， 日 月 光 华
树 承 雨 露 ， 花 沐 春 光
鹊 送 喜 报 ， 鸡 传 佳 音
百 事 可 乐 ， 万 象 更 新
百 顺 为 福 ， 六 合 同 春
财 源 茂 盛 ， 人 寿 年 丰
春 安 夏 泰 ， 秋 稔 冬 祥
春 风 及 第 ， 瑞 霭 盈 门
春 光 满 室 ， 瑞 气 盈 门
春 和 景 丽 ， 物 阜 人 康
春 透 寒 梅 ， 韵 谐 青 竹
风 调 雨 顺 ， 国 盛 人 和
风 光 胜 旧 ， 岁 序 更 新
风 迎 新 岁 ， 雪 兆 丰 年
河 清 海 晏 ， 人 寿 年 丰
华 灯 飞 彩 ， 喜 炮 迎 春
江 山 壮 伟 ， 桃 李 芬 芳
九 州 日 丽 ， 四 化 春 新
梅 开 佳 景 ， 雪 兆 丰 年
梅 映 红 日 ， 雪 兆 丰 年
门 迎 百 福 ， 户 纳 千 祥
人 增 寿 纪 ， 天 转 阳 和
三 山 生 色 ， 五 湖 呈 祥
山 川 添 秀 ， 大 地 回 春
诗 书 门 第 ， 陶 淑 人 家
岁 当 盛 世 ， 人 逢 华 年
岁 丰 人 寿 ， 春 和 景 明
百 族 共 乐 ， 两 岸 同 春
春 风 送 暖 ， 政 策 归 心
家 和 业 旺 ， 国 泰 民 安
江 山 若 画 ， 岁 月 如 歌
民 夸 盛 会 ， 国 展 宏 图
五 羊 献 瑞 ， 八 骏 呈 祥
白 雪 融 腊 ， 红 梅 赋 诗
爆 竹 报 喜 ， 楹 联 迎 春
爆 竹 辞 旧 ， 桃 符 迎 新
垂 杨 系 马 ， 沙 岸 泊 船
春 风 梳 柳 ， 时 雨 润 苗
春 光 九 十 ， 气 象 万 千
春 回 柳 眼 ， 红 人 桃 腮
春 回 柳 叶 ， 赋 献 梅 花
春 临 宅 第 ， 喜 上 梅 梢
春 浓 山 腹 ， 梅 放 岭 头
春 为 岁 首 ， 梅 占 花 魁
春 有 新 意 ， 景 无 旧 观
椿 庭 庆 集 ， 棣 圃 春 浓
冬 迎 梅 至 ， 春 伴 燕 归
蜂 抱 花 须 ， 鱼 吹 柳 絮
蜂 翼 弄 娇 ， 燕 泥 衔 须
高 堂 结 彩 ， 华 宅 生 辉
光 饰 竹 径 ， 影 透 花 荫
红 楼 旭 日 ， 绿 柳 芳 春
红 梅 吐 蕊 ， 绿 竹 催 春
花 开 富 贵 ， 竹 报 平 安
花 香 四 季 ， 月 满 一 轮
花 迎 喜 气 ， 鸟 唱 春 光
怀 同 霁 月 ， 量 洽 春 风
惠 风 和 畅 ， 化 日 舒 长
江 山 永 固 ， 日 月 长 恒
九 州 国 泰 ， 六 合 春 新
腊 梅 报 喜 ， 飞 雪 迎 春
兰 芳 春 日 ， 桂 馥 秋 风
龙 腾 虎 跃 ， 水 啸 山 吟
龙 兴 华 夏 ， 燕 舞 阳 春
龙 吟 国 瑞 ， 虎 啸 年 丰
绿 柳 吐 絮 ， 白 杨 飞 花
民 生 有 幸 ， 国 运 无 疆
年 丰 人 寿 ， 景 泰 春 和
年 年 如 意 ， 处 处 春 风
牛 耕 绿 野 ， 虎 啸 青 山
千 峰 月 色 ， 五 湖 春 光
乾 坤 正 气 ， 日 月 光 华
群 鸥 戏 水 ， 众 鹤 游 天
人 登 寿 域 ， 世 跻 春 台
人 游 化 日 ， 天 与 长 春
人 臻 五 福 ， 花 满 三 春
日 上 花 梢 ， 莺 穿 柳 带
日 薰 春 杏 ， 风 送 腊 梅
三 江 生 色 ， 四 海 呈 祥
山 川 毓 秀 ， 松 柏 长 春
山 间 明 月 ， 江 上 春 风
时 和 景 奉 ， 雪 瑞 花 奇
岁 且 更 始 ， 时 乃 日 新
岁 通 盛 世 ， 人 肇 华 年
抬 头 见 彩 ， 动 手 生 财
唐 虞 盛 世 ， 天 地 长 春
天 开 长 乐 ， 人 到 恒 春
天 开 文 运 ， 人 喜 春 暘
天 涯 月 色 ， 芳 草 春 晖
香 飘 四 季 ， 春 满 九 州
祥 云 捧 日 ， 玉 树 临 风
新 年 初 气 ， 古 国 雄 风
新 岁 献 瑞 ， 腊 梅 迎 春
萱 庭 日 永 ， 兰 室 春 和
阳 春 烟 景 ， 锦 绣 文 章
阳 春 召 我 ， 淑 气 宜 人
遥 山 耸 翠 ， 远 水 生 光
一 声 爆 响 ， 万 里 春 回
鱼 游 深 水 ， 鸟 占 高 枝
与 山 同 静 ， 随 地 皆 春
鸢 飞 鱼 跃 ， 燕 语 莺 啼
韵 耐 春 风 ， 清 宜 夜 雨
载 瞻 星 气 ， 如 写 阳 春
鸡 鸣 晓 旦 ， 燕 舞 阳 春
金 牛 贺 岁 ， 玉 鼠 回 宫
人 喜 盛 世 ， 鼠 兆 丰 年
同 瞻 马 首 ， 共 沐 春 光
百 花 齐 放 ， 万 马 奔 腾
